drug_id,drug_name,channel,ic50_nM,hill,ic50_ci_low_nM,ic50_ci_high_nM,n_replicates,assay,temperature_C,source_citation,source_doi,source_table,units_check,na_reason,verification_status,transcribed_by,transcribed_on
dofetilide,Dofetilide,IKr,4.9,0.9,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
dofetilide,Dofetilide,ICaL,260.3,1.2,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
dofetilide,Dofetilide,INa_peak,380.5,0.9,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
dofetilide,Dofetilide,INaL,753160.4,0.3,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,REJECTED,Alvira,2026-09-13
dofetilide,Dofetilide,IKs,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
dofetilide,Dofetilide,Ito,18.8,0.8,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
dofetilide,Dofetilide,IK1,394.3,0.8,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,IKr,110600,0.8,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,ICaL,7061527,0.9,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,INa_peak,1140000000.0,0.5,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,INaL,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,IKs,4221856,1.2,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,Ito,43143455,0.7,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
sotalol,Sotalol,IK1,3050260,1.2,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,IKr,992,0.8,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,ICaL,51592.4,0.6,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,INa_peak,12329,1.5,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,INaL,9417,1.3,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,IKs,4898.9,1.4,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,Ito,3487.4,1.3,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
quinidine,Quinidine,IK1,39589519,0.4,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,REJECTED,Alvira,2026-09-13
cisapride,Cisapride,IKr,10.1,0.7,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
cisapride,Cisapride,ICaL,9258077,0.4,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,REJECTED,Alvira,2026-09-13
cisapride,Cisapride,INa_peak,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
cisapride,Cisapride,INaL,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
cisapride,Cisapride,IKs,81192862,0.3,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,REJECTED,Alvira,2026-09-13
cisapride,Cisapride,Ito,219112.5,0.2,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,REJECTED,Alvira,2026-09-13
cisapride,Cisapride,IK1,29498,0.5,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,IKr,288,1.0,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,ICaL,201.8,1.1,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,INa_peak,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,INaL,7028,1.0,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,IKs,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,Ito,13429.2,0.8,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
verapamil,Verapamil,IK1,349000000,0.3,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,REJECTED,Alvira,2026-09-13
diltiazem,Diltiazem,IKr,13150,0.9,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
diltiazem,Diltiazem,ICaL,112.1,0.7,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
diltiazem,Diltiazem,INa_peak,110859,0.7,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
diltiazem,Diltiazem,INaL,21868.5,0.7,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,,VERIFIED,Alvira,2026-09-13
diltiazem,Diltiazem,IKs,NA,,,,3,manual patch clamp,37,Crumb et al. 2016 J Pharmacol Toxicol Methods 81:251-262,10.1016/j.vascn.2016.03.009,Table 2,IC50_nM|hill_dimensionless,no detectable data,VERIFIED,Alvira,2026-09-13
